Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF
06/26/2020,"2,187",609,81,69,12,528,"1,578","1,528",50,,"1,284","1,113",171,756,136,101,35,620,528,472,56,,,"8,054","5,496",438,195,243,"5,058","2,558",574,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/27/2020,"2,191",690,78,69,9,612,"1,501","1,451",50,,"1,270","1,099",171,686,130,103,27,556,584,512,72,,,"8,072","5,320",367,163,204,"4,953","2,752",497,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/28/2020,"2,200",713,76,61,15,637,"1,487","1,437",50,,"1,270","1,099",171,729,130,95,35,599,541,471,70,,,"8,072","5,387",340,141,199,"5,047","2,685",470,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/29/2020,"2,197",553,77,66,11,476,"1,644","1,594",50,,"1,270","1,099",171,708,140,97,43,568,562,505,57,,,"8,083","5,366",426,194,232,"4,940","2,717",566,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/30/2020,"2,202",621,85,70,15,536,"1,581","1,531",50,,"1,270","1,099",171,723,140,96,44,583,547,480,67,,,"8,083","5,373",389,188,201,"4,984","2,710",529,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/01/2020,"2,186",646,91,73,18,555,"1,540","1,490",50,,"1,340","1,169",171,834,131,93,38,703,506,460,46,,,"8,085","5,407",402,187,215,"5,005","2,678",533,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/02/2020,"2,185",664,75,62,13,589,"1,521","1,471",50,,"1,343","1,172",171,840,120,85,35,720,503,457,46,,,"8,085","5,568",378,183,195,"5,190","2,517",498,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/03/2020,"2,190",669,67,49,18,602,"1,521","1,471",50,,"1,343","1,172",171,821,115,78,37,706,522,453,69,,,"8,085","5,413",380,168,212,"5,033","2,672",495,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/04/2020,"2,190",723,62,48,14,661,"1,467","1,417",50,,"1,343","1,172",171,801,95,72,23,706,542,490,52,,,"8,085","5,311",335,149,186,"4,976","2,774",430,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/05/2020,"2,190",601,56,42,14,545,"1,589","1,539",50,,"1,343","1,172",171,772,115,76,39,657,571,495,76,,,"8,085","5,224",356,147,209,"4,868","2,861",471,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/06/2020,"2,186",525,67,53,14,458,"1,661","1,611",50,,"1,343","1,172",171,792,120,76,44,672,551,488,63,,,"8,085","5,296",343,180,163,"4,953","2,789",463,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/07/2020,"2,178",566,67,48,19,499,"1,612","1,562",50,,"1,343","1,172",171,857,127,72,55,730,486,425,61,,,"8,087","5,668",400,184,216,"5,268","2,419",527,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/08/2020,"2,108",610,76,51,25,534,"1,498","1,448",50,,"1,343","1,172",171,842,121,67,54,721,501,428,73,,,"8,087","5,589",409,194,215,"5,180","2,498",530,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/09/2020,"2,108",538,70,51,19,468,"1,570","1,520",50,,"1,343","1,172",171,850,104,63,41,746,493,443,50,,,"8,087","5,676",374,191,183,"5,302","2,411",478,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/10/2020,"2,083",590,59,51,8,531,"1,493","1,443",50,,"1,346","1,175",171,866,104,69,35,762,480,438,42,,,"8,043","5,784",370,162,208,"5,414","2,259",474,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/11/2020,"2,055",624,47,38,9,577,"1,431","1,381",50,,"1,346","1,175",171,832,97,65,32,735,514,467,47,,,"8,043","5,709",334,146,188,"5,375","2,334",431,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/12/2020,"2,020",672,60,48,12,612,"1,348","1,298",50,,"1,346","1,175",171,839,104,71,33,735,507,444,63,,,"8,043","5,447",365,164,201,"5,082","2,596",469,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/13/2020,"2,002",499,63,53,10,436,"1,503","1,453",50,,"1,346","1,175",171,783,106,70,36,677,563,473,90,,,"8,043","5,451",361,161,200,"5,090","2,592",467,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/14/2020,"1,998",527,58,49,9,469,"1,471","1,421",50,,"1,346","1,175",171,774,106,68,38,668,572,496,76,,,"8,043","5,667",407,170,237,"5,260","2,376",513,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/15/2020,"1,998",521,63,52,11,458,"1,477","1,427",50,,"1,346","1,175",171,753,98,65,33,655,593,512,81,,,"8,037","5,616",423,184,239,"5,193","2,421",521,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/16/2020,"1,994",523,56,48,8,467,"1,471","1,421",50,,"1,346","1,175",171,833,101,64,37,732,513,440,73,,,"8,037","5,843",379,160,219,"5,464","2,194",480,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/17/2020,"2,001",462,56,44,12,406,"1,539","1,489",50,,"1,346","1,175",171,796,115,72,43,681,550,466,84,,,"8,045","5,734",370,163,207,"5,364","2,311",485,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/18/2020,"2,005",612,51,31,20,561,"1,393","1,343",50,,"1,346","1,175",171,803,107,64,43,696,543,470,73,,,"8,045","5,575",355,141,214,"5,220","2,470",462,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/19/2020,"2,004",583,49,30,19,534,"1,421","1,371",50,,"1,346","1,175",171,761,108,60,48,653,585,513,72,,,"8,045","5,495",333,128,205,"5,162","2,550",441,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/20/2020,"1,986",517,54,41,13,463,"1,469","1,419",50,,"1,346","1,175",171,785,90,60,30,695,561,504,57,,,"8,046","5,409",394,155,239,"5,015","2,637",484,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/21/2020,"1,989",559,53,37,16,506,"1,430","1,380",50,,"1,346","1,175",171,819,90,52,38,729,527,465,62,,,"8,046","5,631",374,162,212,"5,257","2,415",464,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/22/2020,"1,990",567,49,36,13,518,"1,423","1,373",50,,"1,346","1,175",171,826,82,50,32,744,520,453,67,,,"8,062","5,712",410,163,247,"5,302","2,350",492,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/23/2020,"1,991",513,43,35,8,470,"1,478","1,428",50,,"1,344","1,173",171,866,85,55,30,781,478,430,48,,,"8,064","5,599",413,177,236,"5,186","2,465",498,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/24/2020,"1,990",537,34,25,9,503,"1,453","1,403",50,,"1,274","1,103",171,795,97,61,36,698,479,429,50,,,"8,064","5,648",380,153,227,"5,268","2,416",477,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/25/2020,"1,990",553,35,25,10,518,"1,437","1,387",50,,"1,274","1,103",171,769,107,60,47,662,505,457,48,,,"8,055","5,483",332,136,196,"5,151","2,572",439,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/26/2020,"1,990",598,42,24,18,556,"1,392","1,342",50,,"1,274","1,103",171,787,111,64,47,676,487,444,43,,,"8,055","5,408",350,137,213,"5,058","2,647",461,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/27/2020,"1,990",551,39,27,12,512,"1,439","1,389",50,,"1,274","1,103",171,745,98,65,33,647,529,477,52,,,"8,060","5,555",348,143,205,"5,207","2,505",446,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/28/2020,"1,999",553,52,33,19,501,"1,446","1,396",50,,"1,268","1,097",171,726,108,66,42,618,542,474,68,,,"8,060","5,656",370,144,226,"5,286","2,404",478,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/29/2020,"2,011",513,44,28,16,469,"1,498","1,448",50,,"1,268","1,097",171,761,105,64,41,656,507,443,64,,,"8,060","5,506",333,145,188,"5,173","2,554",438,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/30/2020,"2,009",538,50,33,17,488,"1,471","1,421",50,,"1,268","1,097",171,798,115,67,48,683,470,402,68,,,"8,075","5,659",329,142,187,"5,330","2,416",444,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/31/2020,"2,001",518,50,37,13,468,"1,483","1,433",50,,"1,268","1,097",171,777,99,68,31,678,491,446,45,,,"8,075","5,680",322,157,165,"5,358","2,395",421,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.32_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/01/2020,"2,001",619,37,29,8,582,"1,382","1,332",50,,"1,268","1,097",171,764,100,70,30,664,504,432,72,,,"8,075","5,761",304,134,170,"5,457","2,314",404,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/02/2020,"2,000",568,45,31,14,523,"1,432","1,382",50,,"1,268","1,097",171,722,101,64,37,621,546,463,83,,,"8,095","5,536",309,140,169,"5,227","2,559",410,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/03/2020,"2,001",582,41,33,8,541,"1,419","1,369",50,,"1,274","1,103",171,759,105,60,45,654,515,462,53,,,"8,095","5,473",319,144,175,"5,154","2,622",424,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/04/2020,"1,999",547,39,30,9,508,"1,452","1,402",50,,"1,274","1,103",171,793,102,64,38,691,481,436,45,,,"8,095","5,406",338,157,181,"5,068","2,689",440,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/05/2020,"1,995",546,39,22,17,507,"1,449","1,399",50,,"1,274","1,103",171,744,94,56,38,650,530,460,70,,,"8,099","5,688",344,155,189,"5,344","2,411",438,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/06/2020,"2,005",575,42,29,13,533,"1,430","1,380",50,,"1,274","1,103",171,792,93,59,34,699,482,429,53,,,"8,099","5,802",353,154,199,"5,449","2,297",446,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/07/2020,"2,000",546,35,26,9,511,"1,454","1,404",50,,"1,274","1,103",171,776,94,55,39,682,498,426,72,,,"8,099","5,574",377,143,234,"5,197","2,525",471,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/08/2020,"2,012",637,28,22,6,609,"1,375","1,325",50,,"1,274","1,103",171,789,92,54,38,697,485,437,48,,,"8,099","5,801",357,123,234,"5,444","2,298",449,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/09/2020,"1,995",586,35,24,11,551,"1,409","1,359",50,,"1,274","1,103",171,770,103,58,45,667,504,434,70,,,"8,099","5,696",313,117,196,"5,383","2,403",416,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/10/2020,"1,995",580,41,28,13,539,"1,415","1,365",50,,"1,274","1,103",171,724,86,56,30,638,550,460,90,,,"8,099","5,644",392,141,251,"5,252","2,455",478,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/11/2020,"2,007",551,33,24,9,518,"1,456","1,406",50,,"1,278","1,107",171,733,94,56,38,639,545,455,90,,,"8,095","5,897",327,130,197,"5,570","2,198",421,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/12/2020,"2,007",540,39,28,11,501,"1,467","1,417",50,,"1,278","1,107",171,754,102,59,43,652,524,445,79,,,"8,095","5,928",345,119,226,"5,583","2,167",447,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/13/2020,"2,051",610,41,28,13,569,"1,441","1,391",50,,"1,278","1,107",171,809,99,55,44,710,469,416,53,,,"8,075","5,835",365,122,243,"5,470","2,240",464,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/14/2020,"2,033",684,34,26,8,650,"1,349","1,299",50,,"1,278","1,107",171,784,88,53,35,696,494,422,72,,,"8,075","5,931",307,113,194,"5,624","2,144",395,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/15/2020,"2,030",558,36,28,8,522,"1,472","1,422",50,,"1,278","1,107",171,750,94,58,36,656,528,460,68,,,"8,075","5,926",348,124,224,"5,578","2,149",442,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/16/2020,"2,029",635,36,30,6,599,"1,394","1,344",50,,"1,278","1,107",171,744,88,65,23,656,534,460,74,,,"8,075","5,788",336,121,215,"5,452","2,287",424,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/17/2020,"2,045",551,43,29,14,508,"1,494","1,444",50,,"1,278","1,107",171,712,99,64,35,613,566,499,67,,,"8,103","5,600",336,144,192,"5,264","2,503",435,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/18/2020,"2,045",582,41,27,14,541,"1,463","1,413",50,,"1,278","1,107",171,758,93,60,33,665,520,441,79,,,"8,103","5,872",299,131,168,"5,573","2,231",392,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/19/2020,"2,045",486,38,27,11,448,"1,559","1,509",50,,"1,278","1,107",171,729,100,61,39,629,549,464,85,,,"8,099","5,726",258,119,139,"5,468","2,373",358,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/20/2020,"2,043",552,37,28,9,515,"1,491","1,441",50,,"1,278","1,107",171,801,114,65,49,687,477,418,59,,,"8,099","5,713",288,109,179,"5,425","2,386",402,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/21/2020,"2,035",549,40,31,9,509,"1,486","1,436",50,,"1,278","1,107",171,760,91,62,29,669,518,459,59,,,"8,099","5,855",286,109,177,"5,569","2,244",377,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/22/2020,"2,035",583,32,25,7,551,"1,452","1,402",50,,"1,278","1,107",171,753,80,53,27,673,525,461,64,,,"8,099","5,832",253,105,148,"5,579","2,267",333,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/23/2020,"2,043",611,40,28,12,571,"1,432","1,382",50,,"1,278","1,107",171,725,73,50,23,652,553,479,74,,,"8,099","5,805",261,108,153,"5,544","2,294",334,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/24/2020,"2,053",460,41,32,9,419,"1,593","1,543",50,,"1,278","1,107",171,752,90,59,31,662,526,463,63,,,"8,099","5,728",268,122,146,"5,460","2,371",358,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/25/2020,"2,058",537,34,28,6,503,"1,521","1,471",50,,"1,278","1,107",171,746,90,54,36,656,532,464,68,,,"8,099","5,917",281,103,178,"5,636","2,182",371,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/26/2020,"2,035",603,42,32,10,561,"1,432","1,382",50,,"1,278","1,107",171,807,108,62,46,699,471,408,63,,,"8,099","5,994",282,107,175,"5,712","2,105",390,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/27/2020,"2,028",570,34,28,6,536,"1,458","1,408",50,,"1,278","1,107",171,814,97,66,31,717,464,407,57,,,"8,099","5,906",320,126,194,"5,586","2,193",417,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/28/2020,"2,027",498,30,25,5,468,"1,529","1,479",50,,"1,278","1,107",171,799,91,60,31,708,479,409,70,,,"8,099","5,834",315,138,177,"5,519","2,265",406,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/29/2020,"2,027",677,35,29,6,642,"1,350","1,300",50,,"1,278","1,107",171,788,70,58,12,718,490,418,72,,,"8,099","5,941",271,110,161,"5,670","2,158",341,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/30/2020,"2,027",723,41,31,10,682,"1,304","1,254",50,,"1,278","1,107",171,793,90,65,25,703,485,408,77,,,"8,099","5,793",283,117,166,"5,510","2,306",373,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/31/2020,"2,029",542,37,31,6,505,"1,487","1,437",50,,"1,278","1,107",171,727,97,58,39,630,551,487,64,,,"8,260","5,558",288,124,164,"5,270","2,702",385,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.32_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/01/2020,"2,030",623,35,30,5,588,"1,407","1,357",50,,"1,278","1,107",171,752,88,53,35,664,526,437,89,,,"8,260","5,815",317,136,181,"5,498","2,445",405,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/02/2020,"2,028",675,35,25,10,640,"1,353","1,303",50,,"1,276","1,105",171,834,99,64,35,735,442,390,52,,,"8,260","5,907",319,143,176,"5,588","2,353",418,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/03/2020,"2,028",575,41,29,12,534,"1,453","1,403",50,,"1,276","1,105",171,773,96,56,40,677,503,424,79,,,"8,260","5,874",310,136,174,"5,564","2,386",406,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/04/2020,"2,026",562,36,28,8,526,"1,464","1,414",50,,"1,276","1,105",171,754,92,62,30,662,522,440,82,,,"8,260","5,842",279,133,146,"5,563","2,418",371,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/05/2020,"2,036",757,26,23,3,731,"1,279","1,229",50,,"1,276","1,105",171,797,83,55,28,714,479,424,55,,,"8,260","6,100",283,124,159,"5,817","2,160",366,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/06/2020,"2,039",704,33,25,8,671,"1,335","1,285",50,,"1,276","1,105",171,743,91,55,36,652,533,476,57,,,"8,260","5,866",233,109,124,"5,633","2,394",324,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/07/2020,"2,036",726,28,24,4,698,"1,310","1,260",50,,"1,276","1,105",171,746,84,52,32,662,530,467,63,,,"8,260","5,785",258,117,141,"5,527","2,475",342,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/08/2020,"2,039",578,29,23,6,549,"1,461","1,411",50,,"1,276","1,105",171,731,88,55,33,643,545,460,85,,,"8,260","5,527",245,109,136,"5,282","2,733",333,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/09/2020,"2,043",533,36,28,8,497,"1,510","1,460",50,,"1,276","1,105",171,706,78,54,24,628,570,463,107,,,"8,260","5,748",284,109,175,"5,464","2,512",362,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/10/2020,"2,040",573,46,31,15,527,"1,467","1,417",50,,"1,276","1,105",171,752,90,50,40,662,524,444,80,,,"8,260","5,995",305,111,194,"5,690","2,265",395,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/11/2020,"2,040",556,50,35,15,506,"1,484","1,434",50,,"1,276","1,105",171,776,102,61,41,674,500,410,90,,,"8,260","5,932",266,101,165,"5,666","2,328",368,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/12/2020,"2,038",671,38,30,8,633,"1,367","1,317",50,,"1,276","1,105",171,785,78,51,27,707,491,406,85,,,"8,258","5,922",241,93,148,"5,681","2,336",319,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/13/2020,"2,041",685,40,25,15,645,"1,356","1,306",50,,"1,276","1,105",171,879,81,45,36,798,397,319,78,,,"8,258","6,113",249,102,147,"5,864","2,145",330,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/14/2020,"2,033",559,37,29,8,522,"1,474","1,424",50,,"1,276","1,105",171,779,74,49,25,705,497,426,71,,,"8,258","5,865",243,92,151,"5,622","2,393",317,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/15/2020,"2,040",586,36,28,8,550,"1,454","1,404",50,,"1,276","1,105",171,856,85,53,32,771,420,349,71,,,"8,258","6,012",298,102,196,"5,714","2,246",383,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
09/16/2020,"2,041",547,43,32,11,504,"1,494","1,444",50,,"1,276","1,105",171,869,99,65,34,770,407,339,68,,,"8,258","6,042",259,98,161,"5,783","2,216",358,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
